bfSpecRgstNo,orderInsttNm,prdctClsfcNoNm,asignBdgtAmt,rcptDt,link,sendOK
1464533,전라남도,산업수요 대응 외국인·기업체 실태조사 및 전남형 이민정책 모델 발굴 용역,300000000,2024-07-01 13:34:47,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464533,0
1464613,환경부 원주지방환경청,달천 조곡외1개지구 하천정비사업 건설사업관리용역(1차),4019800000,2024-07-01 15:00:37,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464613,0
1464858,국토교통부 대전지방국토관리청 충주국토관리사무소,충주국토 관내 도로안전 및 환경개선 건설엔지니어링(실시설계),74426000,2024-07-02 09:37:01,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464858,0
1464830,서울특별시 관악구,도림천 복개구조물 정밀안전점검 용역,82070000,2024-07-02 07:59:48,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464830,0
1464831,부산광역시,부산항 제1부두 기초원형조사 및 보존·활용 가이드라인 마련 연구,180000000,2024-07-02 08:26:04,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464831,0
1464865,광주광역시 광산구,광산구장애인복지관 건립사업 건축 설계공모,593200000,2024-07-02 09:53:11,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464865,0
1464931,경기도 성남시 분당구,지천 교량 정밀안전진단 결과 보수보강공사(4구역) 폐기물처리용역,73591000,2024-07-02 11:09:47,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464931,0
1464968,한국과학기술정보연구원(분원),글로벌 진출 유망기업을 위한 글로벌 시장경쟁력 조사/분석,73000000,2024-07-02 11:37:46,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464968,0
1464364,제주특별자치도 상하수도본부,수도정비계획 변경 수립 및 수도시설 기술진단 용역 구매규격 사전공개,2750180000,2024-07-01 09:37:57,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464364,0
1464833,한국교통안전공단 자동차안전연구원,구동축전지 안전성평가 준비업무 외주용역,134398453,2024-07-02 08:19:35,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464833,0
1464825,한국토지주택공사,화성동탄(1) 2단계 및 동탄(2) 경부직선화 타절구간(1.2공구) 도로표지 및 교통안전시설물 검토용역,53460000,2024-07-01 23:30:11,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464825,0
1464886,경기도 성남시 분당구,지천 교량 정밀안전진단 결과 보수보강공사(1구역) 폐기물처리용역,89312000,2024-07-02 10:22:38,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464886,0
1464924,경기도 성남시 분당구,지천 교량 정밀안전진단 결과 보수보강공사(2구역) 폐기물처리용역,109276000,2024-07-02 11:05:17,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464924,0
1464941,덕성여자대학교,2024학년도 교육수요자 만족도조사 및 분석 대행,31450000,2024-07-02 11:18:00,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464941,0
1464942,한국가스공사,인천기지본부 건축물 정밀안전점검 용역,43000000,2024-07-02 11:18:07,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464942,0
1464304,경상북도교육청 경상북도예천교육지원청,(가칭)호명중학교 교사 신축 전기설계용역,189677000,2024-06-30 08:49:35,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464304,0
1464338,경상남도 진주시,대한민국 기업가정신관 건립 타당성 검토 용역(긴급),300000000,2024-07-01 09:11:26,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464338,0
1464400,한국언론진흥재단,2024년 여론집중도조사를 위한 소셜미디어 뉴스 이용 조사,29000000,2024-07-01 10:05:50,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464400,0
1464408,해양환경공단,"군산, 서귀포사업소 리모델링공사 건설사업관리",480868508,2024-07-01 10:15:06,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464408,0
1464474,한국지역난방공사 서울중앙지사,2024년 중앙지사 열수송관 개선 및 추가공사 공공측량 용역,100212200,2024-07-01 11:24:06,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464474,0
1464479,충청남도 공주시,[설계공모][긴급] 구석기 교육원 건립사업 설계용역,242538000,2024-07-01 11:27:43,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464479,0
1464572,조달청,온양원도심 어울림플랫폼 건립공사 감독권한대행 건설사업관리용역,1928630000,2024-07-01 14:16:55,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464572,0
1464575,인천광역시 상수도사업본부,교동·삼산배수지 건설공사 설계단계 건설사업관리용역,134588000,2024-07-01 14:21:06,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464575,0
1464623,환경부 원주지방환경청,달천 후평지구 하천정비사업 건설사업관리용역(1차),4381300000,2024-07-01 15:08:40,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464623,0
1464630,경기도,2024 경기도 브랜드 홍보 콘텐츠 공모전 용역,60000000,2024-07-01 15:17:24,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464630,0
1464655,한국농어촌공사 경북지역본부,영천댐 도수터널 지하수수위 영향조사 용역,131253000,2024-07-01 15:45:06,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464655,0
1464714,부산광역시 금정구,땅뫼산 수변 산림공원 조성사업 소규모 환경영향평가용역,65000000,2024-07-01 16:41:43,https://www.g2b.go.kr:8082/ep/preparation/prestd/preStdDtl.do?preStdRegNo=1464714,0
