bidNtceNo,ntceInsttNm,bidNtceNm,opengCorpInfo,opengDt
20240538372,충청남도 건설본부,갈두천 지방하천 정비사업 실시설계용역,주식회사 수성엔지니어링^6098114412^강병윤^545200000^85.551,2024-06-10 11:00:00
20240541391,경상남도 양산시,평산고지 배수지 설치공사 시공단계의 건설사업관리용역(총괄),주식회사 수성엔지니어링^6098114412^강병윤^1959283000^80.109,2024-06-07 11:00:00
