bfSpecRgstNo,orderInsttNm,prdctClsfcNoNm,asignBdgtAmt,rcptDt,sendOK
1456479,조달청 대전지방조달청,K사이언스 해외전시 기본 및 실시 설계 용역,111088700,2024-06-10 13:05:36,0
1456538,한국농어촌공사,농지연금모형 재설계 연구용역,50000000,2024-06-10 14:22:12,0
1456543,충청남도 서산시,서산 테크노밸리 야외체육시설 조성사업 실시설계 용역,112580000,2024-06-10 14:23:18,0
1456552,국립생태원,국립생태원 상설주제전시관 1관 리뉴얼 전시 설계,200000000,2024-06-10 14:29:52,0
1456589,한국철도기술연구원,이례상황 대응 및 인적오류 저감을 위한 다중 철도종사자 합동 가상훈련 통합 시스템 상세기능 아키텍처 설계,45000000,2024-06-10 15:08:16,0
1456591,경상남도 창원시 진해구,국도2호선 진입부(남양우방아이유쉘) 선형개량공사 실시설계 및 도시관리계획(도로)결정 용역,177500000,2024-06-10 15:10:50,0
1456615,한국수자원공사,부산EDC 1단계 주운수로 엘리베이터 기본 및 실시설계 용역,20000000,2024-06-10 15:35:46,0
1456637,강원특별자치도 영월군,탄광문화촌 시설 고도화사업 기본 및 실시설계 제안공모,333531000,2024-06-10 15:54:44,0
1456691,충청남도 공주시,[계약대행] 주미산 산림레포츠조성사업 실시설계용역,198000000,2024-06-10 16:43:34,0
1456695,경상북도 구미시,한천 산책로 정비사업 기본 및 실시설계용역,186290000,2024-06-10 16:47:00,0
1456714,한국해양수산개발원,2023년 가나 여성어업인 가공 및 유통 역량강화 사업 개보수공사 설계및시공용역,615000000,2024-06-10 17:03:23,0
1456716,대구광역시 남구,남구시니어공유생활센터(가칭) 건립공사 기본 및 실시설계 용역 사전규격 공개(긴급),74381000,2024-06-10 17:06:42,0
1456745,전북특별자치도 고창군,서해안 선셋드라이브 명소화(야간경관조명) 실시설계 용역,120730000,2024-06-10 17:27:28,0
1456753,서울특별시 금천구,철산교 하부 도로구조 개선을 위한 기본 및 실시설계 용역(수정),149699000,2024-06-10 17:34:40,0
1456798,충청남도,지방어항(어은돌항) 개발계획(변경) 수립 실시설계용역,196900000,2024-06-10 18:11:20,0
1456822,충청남도 천안시,오룡지구 골목상권발전소 건립공사 기본 및 실시설계 용역,158840000,2024-06-10 18:41:41,0
1456825,경기도 양평군,[긴급]양평 국수역세권 도시개발사업 기본 및 실시설계 용역,3131300000,2024-06-10 18:45:31,0
1456840,경상남도 고성군,용산지구 하수관로 정비사업 기본 및 실시설계 용역,1102000000,2024-06-10 20:02:57,0
1456846,충청북도 제천시,공공형 실내스포츠 놀이시설 조성사업 건축공사 실시설계용역,99970000,2024-06-10 21:04:04,0
1456892,경상남도 함안군,"함안 말이산고분군 곡간부 정비사업 설계용역(협상에 의한 계약, 긴급)",190000000,2024-06-11 09:00:52,0
1457059,조달청,수원국토 관내 하반기 병목지점개선 2개소 실시설계용역,490000000,2024-06-11 12:59:04,0
1457069,경상북도 청송군,진보면 소재지 안전한 보행환경 조성공사 실시설계용역,80000000,2024-06-11 13:16:10,0
1457124,대전상공회의소,2024년 대전지역 주축산업 직무별 훈련공급능력 조사 및 직업능력개발 로드맵 설계 연구,41000000,2024-06-11 14:39:48,0
1457138,한국수자원공사,2024년 남해군 신규 노후 상수관망 정비사업 기본 및 실시설계 용역 ,1192600000,2024-06-11 14:15:01,0
1457151,조달청,화천군 생활자원회수센터 설치사업 기본 및 실시설계 용역,468600000,2024-06-11 14:32:47,0
1457165,국방부 국군재정관리단,24-A-00부대 설계용역(A167),256000000,2024-06-11 14:46:50,0
1457277,한국원자력통제기술원,경수형 SMR 물리적방호를 위한 표준설계 내 침입차단체계에 관한 심사지침 개발,100000000,2024-06-11 16:18:51,0
1457329,경상북도 포항시,영일만4 일반산업단지 완충저류시설 설치사업 기본 및 실시설계 용역,1349400000,2024-06-11 17:08:44,0
1457338,전북특별자치도 익산시,함열 청년그린창업플랫폼 조성 설계공모,280181000,2024-06-11 17:14:51,0
1457348,전라남도 곡성군,국도27호선 상수관로 이설공사 실시설계 용역,192989000,2024-06-11 17:20:26,0
1457431,국방과학연구소,지상로봇 자율주행기능 시험시설 건설 설계용역,1244500000,2024-06-11 19:33:29,0
1457435,경기도 여주시,여주시 신청사 건립 설계공모 관리용역,69970000,2024-06-11 19:40:00,0
1457446,인천광역시 중구,운서역 지하보도 에스컬레이터 설치공사 기본 및 실시설계용역,111870000,2024-06-11 20:54:05,0
1455906,한국농수산식품유통공사,원료 농산물 계약재배 정보 서비스 구축 정보화 전략계획(ISP) 수립 용역,50000000,2024-06-07 09:44:57,0
1455961,충청남도,계룡산 권역 관광자원 개발 타당성조사 및 기본계획 수립용역,100000000,2024-06-07 10:50:50,0
1456001,제주국제자유도시개발센터,휴양형 주거단지 개발사업 기본계획 수립 용역,499419000,2024-06-07 13:12:39,0
1456015,경기도 남양주시,남양주시 신청사 건립 타당성조사 및 기본계획 수립 용역,215655000,2024-06-07 13:26:43,0
1456065,재단법인 울산정보산업진흥원,울산형 인공지능산업 발전계획 수립 용역,75000000,2024-06-07 14:37:11,0
1456130,대구광역시,(긴급)대구광역시 산업입지 수급계획 수립 연구용역,119200000,2024-06-07 16:01:18,0
1456149,충청남도,백사장항 아름다운 어항 조성사업 공원조성계획 및 실시설계 용역,70000000,2024-06-07 16:21:20,0
1456159,경기도 성남시,성남시 도시계획정보체계(UPIS) DB 현행화 용역,91000000,2024-06-07 16:31:02,0
1456178,대전광역시,대전뷰티산업진흥원 운영 및 뷰티산업 육성 중장기 발전 기본계획 수립 용역,95000000,2024-06-07 16:59:19,0
1456211,경기도 남양주시,2030 남양주시 도시ㆍ주거환경정비기본계획 변경수립 (약식)전략환경영향평가 용역,96240000,2024-06-07 17:44:29,0
1456222,환경부 전북지방환경청,만경강권역(지방하천) 하천기본계획 수립,2764000000,2024-06-07 17:52:59,0
1456223,환경부 전북지방환경청,주진천권역(지방하천) 하천기본계획수립,2350000000,2024-06-07 17:53:44,0
1456274,외교부,2024년 공공외교 종합시행계획 평가,20000000,2024-06-11 07:26:33,0
1456301,한국기초과학지원연구원,연구개발기관 및 연구시설 관리계획수립·관리방안 기획 용역,34474000,2024-06-10 07:30:06,0
1456328,조달청 서울지방조달청,세종한국어평가센터 구축 중장기 계획 수립,191666300,2024-06-10 09:17:58,0
1456333,한국해양수산개발원,평택당진항 양곡부두(2선석) 민간투자사업 관리이행계획수립을 위한 사업추진방안등 분석,80000000,2024-06-10 15:48:22,0
1456376,조달청 인천지방조달청,수원시 스마트도시계획(2026~2030) 수립 용역,151152390,2024-06-10 10:08:48,0
1456416,제주특별자치도 제주시,장기미집행 도시계획시설(공항로변 녹지) 도시계획도로개설사업 실시설계용역,149900000,2024-06-10 10:52:18,0
1456456,경상남도 거창군 수도사업소,거창군 물 재이용 관리계획 (변경)수립용역,478600000,2024-06-11 09:24:45,0
1456459,재단법인 서울특별시 50플러스재단,2024년 서울시50플러스포털 개편을 위한 정보화전략계획(ISP) 수립 용역,30000000,2024-06-10 11:40:57,0
1456477,조달청 대전지방조달청,계룡시 경관기본계획 재정비 용역,192246860,2024-06-10 13:04:45,0
1456498,재단법인 광주광역시 광주문화재단,아시아 설화·신화 킬러 콘텐츠 개발 사업 축제 마스터플랜 및 사업 중·장기 운영계획 수립 연구용역(협상에 의한 계약),95000000,2024-06-10 13:26:10,0
1456572,전북특별자치도 장수군,장수누리랜드 명품관광지 조성사업 타당성조사 및 기본계획 수립용역,84168000,2024-06-10 14:49:56,0
1456577,국민연금공단,국민연금공단 인재개발원 종합운영계획 수립 컨설팅 용역,250000000,2024-06-10 14:58:50,0
1456591,경상남도 창원시 진해구,국도2호선 진입부(남양우방아이유쉘) 선형개량공사 실시설계 및 도시관리계획(도로)결정 용역,177500000,2024-06-10 15:10:50,0
1456595,한국농어촌공사 제주지역본부,광령1리 마을만들기 종합개발사업 기본계획 수립 및 지역역량강화 용역,163230000,2024-06-10 15:12:46,0
1456598,강원특별자치도,강원특별자치도 산업입지 수급계획 수립 용역,100000000,2024-06-10 15:19:40,0
1456600,경기도 부천시,부천 공업지역 기본계획 수립 용역(긴급),530000000,2024-06-11 10:26:55,0
1456631,경기도 화성시,서해안 색채계획 수립용역,169000000,2024-06-10 15:47:15,0
1456684,국토안전관리원,디지털플랫폼정부 실현계획 수립 컨설팅 사업,43700000,2024-06-10 16:36:54,0
1456798,충청남도,지방어항(어은돌항) 개발계획(변경) 수립 실시설계용역,196900000,2024-06-10 18:11:20,0
1456861,한국토지주택공사,평택고덕국제화계획지구A-37BL 공공주택건설사업 소규모지하안전평가 용역,66253000,2024-06-10 23:30:03,0
1456934,한국지역정보개발원,지역디지털마스터플랜 추진계획 수립,40000000,2024-06-11 09:51:42,0
1457113,인천광역시,자유 및 월미공원 일원 도시관리계획 결정(변경) 전략환경영향평가 용역,105600000,2024-06-11 13:57:19,0
1457154,부산광역시 기장군,"2024년 소하천정비종합계획 전략환경영향평가 용역(두명천, 월평천, 섬들천)",96388000,2024-06-11 14:36:01,0
1457191,국토안전관리원,공공건축물 그린리모델링 의무화 시행계획 수립,200000000,2024-06-11 15:10:55,0
1457272,(재)한국의갯벌세계유산등재추진단,한국의 갯벌 세계유산 CEPA 행동계획 수립,200000000,2024-06-11 16:14:50,0
1457278,전라남도 순천시,순천시 생태체험관광 종합계획 수립 용역(협상계약),50000000,2024-06-11 18:01:06,0
1457381,강원특별자치도 횡성군,횡성군 유기성폐자원 통합 바이오가스화 시설설치를 위한 횡성 군관리계획 결정(변경) 용역,264600000,2024-06-11 17:47:09,0
1457394,한국국토정보공사,노후계획도시정비플랫폼 구축 감리용역,86700000,2024-06-11 18:06:15,0
1455878,조달청,청년내일저축계좌 3차년도 패널조사 및 개선방안 연구,403182500,2024-06-07 09:07:23,0
1455897,경기도 성남시,2024년도 국·공유재산 실태조사 용역,50000000,2024-06-07 09:28:29,0
1455900,전라남도 여수시 상하수도사업단 하수도과,여수시 노후관로 정밀조사 용역,149600000,2024-06-07 09:36:20,0
1455932,울산광역시교육청 울산광역시교육연구정보원,울산교육종단연구 2024. 1차년도 본조사 시스템 구축 및 조사시행,120900000,2024-06-07 10:14:45,0
1455937,과천도시공사,과천지구 상수도 공급시설 조사설계 용역,2687300000,2024-06-07 10:24:05,0
1455961,충청남도,계룡산 권역 관광자원 개발 타당성조사 및 기본계획 수립용역,100000000,2024-06-07 10:50:50,0
1456012,질병관리청,"[정책,178] 말라리아 위험지역 주민 및 의료인 대상 인식도 조사",40000000,2024-06-07 13:24:07,0
1456015,경기도 남양주시,남양주시 신청사 건립 타당성조사 및 기본계획 수립 용역,215655000,2024-06-07 13:26:43,0
1456175,한국지방행정연구원,2024년 2차 타당성 조사 외부연구진 참여 공고,925000000,2024-06-07 16:48:30,0
1456192,대전광역시 중구,2024년 중구 어린이보호구역 실태조사용역,85100000,2024-06-07 17:18:40,0
1456250,조달청 서울지방조달청,2024년 소나무재선충병 무인항공기 예찰조사(영상분석),930522600,2024-06-08 09:00:19,0
1456318,세종특별자치시사회서비스원,세종시 청년의 고립·은둔 실태조사 용역,35000000,2024-06-10 09:01:29,0
1456337,금융감독원,2024년도 전국민 금융이해력 조사,200000000,2024-06-10 09:30:37,0
1456348,한국수출입은행,콩고민주공화국 렘바임부 정수장 2단계 사업 타당성조사(F/S) 용역,1236000000,2024-06-10 09:40:43,0
1456355,조달청 서울지방조달청,2024년 소나무재선충병 무인항공기 예찰조사(밀양권역),342205400,2024-06-10 09:55:35,0
1456360,여수.순천10.19사건진상규명및희생자명예회복위원회,여순사건의 결과와 영향 파악을 위한 기초조사 연구용역,70000000,2024-06-10 10:01:57,0
1456380,한국공항공사,필리핀 2개 공항 운영권 사업 타당성조사 용역,363640000,2024-06-10 10:11:25,0
1456383,사단법인 한국문화유산협회,강원특별자치도 횡성군 서원면 석화리 627번지 일원 지표조사(긴급),39094000,2024-06-10 10:15:59,0
1456395,영산대학교 산학협력단,와이즈유(영산대학교산학협력단) 2024년 초기창업기업 아이템·기술고도화 시장조사 컨설팅 위탁용역 선정 입찰,40000000,2024-06-10 10:25:29,0
1456412,한국농수산식품유통공사,2024년 농산물 온라인 소매가격 조사용역,137000000,2024-06-10 10:42:30,0
1456417,제주특별자치도 제주시,"대림공원 외 1개소 매장유산조사(표본, 시굴)용역",160830000,2024-06-10 10:53:29,0
1456421,환경부 국립환경과학원,금강·낙동강 수계 멸종위기 어류 조사 및 보전 방안 연구,100000000,2024-06-10 10:55:17,0
1456507,한국건강증진개발원,2024년 방문 및 AI.IoT기반 어르신 건강관리사업 만족도 조사 운영,50000000,2024-06-10 13:38:53,0
1456541,한국농어촌공사,농지상시조사분석시스템 AI 도입 및 고도화 용역,1275098000,2024-06-10 14:22:22,0
1456572,전북특별자치도 장수군,장수누리랜드 명품관광지 조성사업 타당성조사 및 기본계획 수립용역,84168000,2024-06-10 14:49:56,0
1456584,조달청 서울지방조달청,2024년 소나무재선충병 무인항공기 예찰조사(1권역),489561680,2024-06-10 15:06:34,0
1456610,한국출판문화산업진흥원,해외 출판시장 규모 및 진출전략 조사 연구 용역,77000000,2024-06-10 15:34:02,0
1456648,한국언론진흥재단,2024년 여론집중도조사를 위한 모바일 뉴스 이용 조사,35000000,2024-06-10 16:02:58,0
1456649,해양수산부,연안침식 정밀조사 용역,4500000000,2024-06-10 16:04:23,0
1456687,조달청 서울지방조달청,한강홍수통제소 수문조사 관제시설 개선 사업,1415516540,2024-06-10 16:41:40,0
1456696,해양환경공단,2024년 해양폐기물 정화사업 완료지역 대상 재침적 실태조사(1권역 7개소),219230000,2024-06-10 16:47:09,0
1456697,해양환경공단,2024년 해양폐기물 정화사업 완료지역 대상 재침적 실태조사(2권역 7개소),181400000,2024-06-10 16:47:49,0
1456698,해양환경공단,2024년 해양폐기물 정화사업 완료지역 대상 재침적 실태조사(3권역 6개소),207150000,2024-06-10 16:48:33,0
1456744,경기도 안성시,2024년 농업용 대형관정 사후관리 및 지하수 영향조사 용역(1구역),136316000,2024-06-10 17:27:05,0
1456747,경기도 안성시,2024년 농업용 대형관정 사후관리 및 지하수 영향조사 용역(2구역),136316000,2024-06-10 17:27:46,0
1456749,조달청 대전지방조달청,소상공인 디지털 실태조사 및 성과평가 용역,201738500,2024-06-10 17:30:31,0
1456768,한국생산기술연구원,"반도체 산업용 세라믹 소재, 부품 기술 동향 조사",30000000,2024-06-10 17:42:49,0
1456777,조달청 대구지방조달청,농산물 중 생물독소류 실태조사 위탁사업,201738500,2024-06-10 17:54:24,0
1456831,한국보건산업진흥원,의료기기산업 오픈이노베이션 조사·분석 연구,50000000,2024-06-10 19:14:58,0
1456869,조달청 서울지방조달청,"경호안전교육원 3단계사업 법정보호종 조사,포획,이주 및 모니터링용역",158619410,2024-06-11 07:29:11,0
1456968,국토교통부 원주지방국토관리청 정선국토관리사무소,2024년 정선국토 CSMS 기초조사 데이터 개선 용역,383000000,2024-06-11 10:38:02,0
1457040,조달청,경계선 지능인 현황 파악을 위한 실태조사,302460500,2024-06-11 11:36:02,0
1457065,조달청,광양(Ⅰ) 공업용수도 도수터널 복선화사업 타당성조사 용역,718429000,2024-06-11 13:12:38,0
1457082,한국농어촌공사 전남지역본부 진도지사,금호호~군내호지구 농촌용수이용체계재편사업 해양환경영향조사용역,248693000,2024-06-11 13:22:10,0
1457089,(재)한국해양재단,2024년 해양교육 현황 기초조사,70000000,2024-06-11 13:33:34,0
1457102,국가유산진흥원,경주 금장리 171-18번지 국비지원(소규모) 정밀발굴조사 용역,106403000,2024-06-11 13:51:24,0
1457108,충청남도 부여군,원도심 쌈지주차장 조성부지 내 매장문화재 정밀발굴조사,274659000,2024-06-11 13:53:27,0
1457116,중앙대학교 산학협력단,대면 설문조사 대행 업체 선정,99000000,2024-06-11 14:00:02,0
1457119,국가유산진흥원,경주 성동동 203-1번지 외 1필지 국비지원(소규모) 정밀발굴조사 용역,49786000,2024-06-11 14:00:45,0
1457123,국가유산진흥원,경주 산대리 1745-1번지 국비지원(소규모) 정밀발굴조사 용역,117469000,2024-06-11 14:04:12,0
1457124,대전상공회의소,2024년 대전지역 주축산업 직무별 훈련공급능력 조사 및 직업능력개발 로드맵 설계 연구,41000000,2024-06-11 14:39:48,0
1457125,대전상공회의소,2024년 대전지역 뿌리산업 심층조사 및 활성화 방안 연구,41000000,2024-06-11 15:25:04,0
1457127,대전상공회의소,2024년 대전지역 특성화고 대학생 대상  구직성향 및 지역기업 인식조사,23000000,2024-06-11 14:40:13,0
1457128,국립공원공단,2024년 국립공원 탐방객 수 조사시스템 유지관리,53570000,2024-06-11 14:06:26,0
1457137,산림청,산불감시카메라 현황조사 및 모니터링,24200000,2024-06-11 14:14:01,0
1457197,경상북도,2024년 경상북도 연안침식 실태조사 용역,999991000,2024-06-11 15:14:34,0
1457213,한국출판문화산업진흥원,2024년 웹소설 산업 현황 실태조사 연구 용역,86700000,2024-06-11 15:25:34,0
1457215,한국산업기술진흥원,(입찰공고) 소재부품장비 산업기술인력 수급동향조사 기획 및 조사대행,120000000,2024-06-11 15:25:51,0
1457228,조달청 충북지방조달청,2024년 사물인터넷 산업 실태조사 용역,131233100,2024-06-11 15:33:57,0
1457259,서울특별시,에너지 서울 동행단 활용 민간주택 창호 간편시공 조사&#8228;평가 용역,104200000,2024-06-11 16:05:04,0
1457289,국토교통부 익산지방국토관리청 전주국토관리사무소,전주국토 관내 CSMS 비탈면 기초조사용역,236000000,2024-06-11 16:32:09,0
1457364,재단법인서울문화재단,2024 서울시민 문화향유 실태조사 연구 용역,110000000,2024-06-11 17:30:52,0
1457403,서울특별시,금천교 정밀안전점검 및 실태조사용역,64426000,2024-06-11 18:11:32,0
1457432,한국산지보전협회,산림내 인위적 변화지 현장조사 애플리케이션 개발,90000000,2024-06-11 19:34:46,0
1457448,조달청 서울지방조달청,"여순사건 관련 미국자료 조사,수집,번역 연구용역",231955100,2024-06-11 21:01:19,0
1457451,국토교통부 부산지방국토관리청 영주국토관리사무소,2024년 영주국토 관내 CSMS 기초조사 데이터 개선 용역,345000000,2024-06-11 21:14:06,0
1457452,축산물품질평가원,2024년 스마트축산 ICT 기업·장비등록 및 실태조사 용역,185700000,2024-06-11 21:18:26,0
1455935,게임물관리위원회,자체등급분류사업자 지정 요건 타당성 검토 연구용역,22000000,2024-06-07 10:18:51,0
1455961,충청남도,계룡산 권역 관광자원 개발 타당성조사 및 기본계획 수립용역,100000000,2024-06-07 10:50:50,0
1456015,경기도 남양주시,남양주시 신청사 건립 타당성조사 및 기본계획 수립 용역,215655000,2024-06-07 13:26:43,0
1456175,한국지방행정연구원,2024년 2차 타당성 조사 외부연구진 참여 공고,925000000,2024-06-07 16:48:30,0
1456188,국방부 한국국방연구원,해군 000000사령부 작전지휘소 신축사업 총사업비 타당성 검토,30000000,2024-06-07 17:48:54,0
1456348,한국수출입은행,콩고민주공화국 렘바임부 정수장 2단계 사업 타당성조사(F/S) 용역,1236000000,2024-06-10 09:40:43,0
1456380,한국공항공사,필리핀 2개 공항 운영권 사업 타당성조사 용역,363640000,2024-06-10 10:11:25,0
1456572,전북특별자치도 장수군,장수누리랜드 명품관광지 조성사업 타당성조사 및 기본계획 수립용역,84168000,2024-06-10 14:49:56,0
1457065,조달청,광양(Ⅰ) 공업용수도 도수터널 복선화사업 타당성조사 용역,718429000,2024-06-11 13:12:38,0
1457180,광주과학기술원,어구자동식별 모니터링 시스템 기반  한-베트남 국제 협력 타당성 분석,30000000,2024-06-11 14:54:39,0
1455972,부산자유시장 문화관광형시장 육성사업단,부산자유시장 주차 리프트 디자인 환경 개선 용역,73000000,2024-06-07 11:03:08,0
1456167,광주충장상권 상권활성화 추진단,「핵점포 유치 및 핫플레이스 환경조성」수행 용역,421000000,2024-06-07 17:52:07,0
1456211,경기도 남양주시,2030 남양주시 도시ㆍ주거환경정비기본계획 변경수립 (약식)전략환경영향평가 용역,96240000,2024-06-07 17:44:29,0
